SampleID,q0,q1,q2
Sg.F.D.1,185,46.29077024,13.84191483
Sg.F.D.2,419,111.5666144,36.27513387
Sg.M.D.3,329,86.76815971,37.53422665
Sg.M.D.4,396,127.7152849,66.09213484
Sg.F.D.5,228,40.41385602,13.27009278
Sg.F.D.6,341,124.9186439,51.44952309
Sg.F.D.7,202,49.49155806,22.36105243
Sg.F.D.8,524,124.4308745,44.68225213
Sg.F.D.9,310,96.85595583,31.47781605
Sg.M.D.10,346,146.8275052,86.52795918
Sg.F.D.11,446,145.0435263,72.23742077
Sg.M.D.12,284,73.50130641,35.79090921
Sg.M.D.13,262,69.79721562,26.83382185
Sg.M.D.14,204,43.53102615,17.4805261
Sg.M.D.15,178,54.30998273,26.9303078
Ss.M.D.16,285,78.41984162,27.03177814
Ss.M.D.17,305,100.8544824,41.09508354
Ss.M.D.18,368,135.7096799,66.06619567
Ss.F.D.19,396,83.04857547,17.77459117
Ss.M.D.20,337,105.0981836,41.51403997
Ss.F.D.21,339,126.0993748,68.43733512
Ss.M.D.22,199,60.58762023,23.05727113
Ss.M.D.23,163,73.39464999,37.16492984
Ss.M.D.24,373,137.9005824,74.5019474
Ss.F.D.25,241,65.13724737,28.8487342
Ss.M.D.26,252,77.08437989,36.50757769
Sa.M.D.27,242,130.4766891,69.74148217
Sa.F.D.28,256,86.82293838,48.03035743
Sa.M.D.29,175,59.64733401,24.81944233
Sa.F.D.30,261,43.30027683,9.286182967
Sa.M.D.31,197,84.12325589,46.5785705
Sa.M.D.32,280,108.4301044,41.62099777
Sa.F.D.33,192,47.10518197,19.73275309
Sa.F.D.35,316,100.2320263,32.35248509
Sa.M.D.36,309,67.77284656,30.27825558
Sb.F.D.37,230,136.4222602,83.56611635
Sb.M.D.38,298,129.2341139,68.34311934
Sb.F.D.39,323,103.0974915,42.18265367
Sb.M.D.41,178,98.33764406,56.60342865
Sb.M.D.42,314,155.9372779,78.38516462
Sb.M.D.43,305,120.580942,52.08891593
Sb.F.D.44,406,195.8643288,116.7913379
Sb.F.D.45,334,160.5005356,95.34412723
Sb.M.D.46,291,150.8505394,83.49597965
Ss.M.R.52,482,145.4576176,61.42405449
Ss.F.R.53,417,79.99314084,24.25996432
Ss.M.R.54,546,67.92680737,25.53131402
Ss.M.R.55,399,109.4453757,43.42018014
Ss.F.R.56,634,145.5560582,66.96903711
Ss.F.R.57,415,109.0364919,31.40865642
Ss.F.R.58,553,87.26786177,14.71275422
Ss.M.R.59,495,157.2259842,66.81072903
Ss.M.R.60,534,167.1618096,58.78810808
Ss.M.R.61,864,205.3892664,59.86215157
Sg.M.R.62,402,63.92066852,20.29297602
Sg.M.R.63,267,59.54565505,26.80423157
Sg.M.R.64,446,107.3626778,47.39116491
Sg.M.R.65,259,58.79342992,16.95666114
Sg.M.R.66,430,104.3235205,43.57921336
Sg.F.R.67,223,95.47424539,49.48582005
Sg.F.R.68,527,160.5788715,83.6455372
Sg.F.R.69,524,113.8058951,42.9476724
Sg.M.R.70,447,102.7342285,34.6034518
Sg.M.R.71,358,147.6171109,63.04126454
Sg.F.R.72,203,133.9352624,94.48564683
Sg.M.R.74,873,219.4107839,104.1705025
Sg.M.R.75,254,55.34423557,25.25348193
Sa.F.R.72,313,130.107066,55.61916738
Sa.F.R.73,627,157.2778391,54.92091765
Sa.M.R.74,494,129.4352687,63.1164397
Sa.M.R.75,784,189.8931387,55.37914397
Sa.F.R.76,244,20.11366634,7.133971547
Sa.M.R.77,1049,173.2528862,43.92834148
Sa.M.R.78,210,121.5029043,71.19116412
Sa.M.R.79,458,148.4080432,75.09301329
Sa.F.R.80,484,130.409259,49.27504389
Sa.M.R.81,445,148.8050258,61.18049748
Sa.F.R.82,574,164.9930294,69.45128189
Sa.F.R.83,631,145.0016245,41.65396813
Sa.F.R.84,397,130.2722378,49.1982664
Sb.M.R.85,655,172.9491547,53.17918915
Sb.M.R.86,436,148.9469954,76.39000206
Sb.M.R.87,487,94.73952757,24.49026286
Sb.F.R.88,443,114.2711185,41.67588159
Sb.F.R.89,819,186.8510855,65.65668799
Sb.F.R.90,759,146.6392046,48.71000751
Sb.M.R.91,604,142.7964229,57.88582058
Sb.F.R.92,517,118.0047087,53.36095004
Sb.M.R.93,631,102.2930781,36.09702786
Sb.M.R.94,506,180.0602145,85.02347257
Sb.M.R.95,611,119.8411076,32.31675202
Sb.F.R.96,325,64.40927833,20.59824495
Sb.F.R.97,531,114.1044533,42.54682714
Sb.M.R.98,490,144.3870222,66.98989341
Sb.F.R.99,618,137.1069506,60.67794714
