SampleID,Sex,Species_Scel,Season,Diet,Elevation,SeqDepth ,Weight,SVL,TL,Tb ,Ta ,Ts ,Location
Sg.F.D.1,Female,Sceloporus grammicus,Dry,10,2662,2300,5.1,54,84,27.6,21.2,21.5,Low_zone
Sg.M.D.3,Male,Sceloporus grammicus,Dry,8,2661,11022,6,60,111,27.8,20.6,25.1,Low_zone
Sg.M.D.4,Male,Sceloporus grammicus,Dry,5,2661,20202,7.9,62,123,25.8,20.6,25.1,Low_zone
Sg.F.D.6,Female,Sceloporus grammicus,Dry,4,2661,7613,4.8,65,131,29.8,15.7,20.5,Low_zone
Sg.F.D.7,Female,Sceloporus grammicus,Dry,2,2661,8343,5.2,65,122,29.2,15.7,20.5,Low_zone
Sg.F.D.8,Female,Sceloporus grammicus,Dry,10,2661,36014,5,72,148,27.7,15.7,20.5,Low_zone
Sg.F.D.9,Female,Sceloporus grammicus,Dry,2,2661,8843,7.9,60,89,28.3,15.7,20.5,Low_zone
Sg.F.D.11,Female,Sceloporus grammicus,Dry,1,2661,17679,7.1,65,145,NA,NA,NA,Low_zone
Sg.M.D.12,Male,Sceloporus grammicus,Dry,5,2661,10466,4.9,37,86,NA,NA,NA,Low_zone
Sg.M.D.13,Male,Sceloporus grammicus,Dry,3,2661,7153,3.1,47,85,NA,NA,NA,Low_zone
Sg.M.D.14,Male,Sceloporus grammicus,Dry,7,2661,5521,4.4,51,119,NA,NA,NA,Low_zone
Sg.M.D.15,Male,Sceloporus grammicus,Dry,3,4029,4563,3.9,52,109,NA,NA,NA,High_zone
Sg.M.R.62,Male,Sceloporus grammicus,Rainy,9,2662,15504,29.7,84,198,NA,NA,NA,Low_zone
Sg.M.R.63,Male,Sceloporus grammicus,Rainy,5,2662,12196,6.2,55,129,NA,NA,NA,Low_zone
Sg.F.R.64,Female,Sceloporus grammicus,Rainy,7,2662,18541,36.8,94,126,22.3,17.7,21,Low_zone
Sg.M.R.65,Male,Sceloporus grammicus,Rainy,10,2662,9225,9.1,59,136,NA,18.8,19.4,Low_zone
Sg.M.R.66,Male,Sceloporus grammicus,Rainy,8,2661,10096,8.2,60,142,33.1,20.1,24.3,Low_zone
Sg.F.R.67,Female,Sceloporus grammicus,Rainy,2,2636,2265,12.2,65,152,34.3,23.1,25.5,Low_zone
Sg.F.R.68,Female,Sceloporus grammicus,Rainy,12,2662,22478,35.1,94,179,NA,NA,NA,Low_zone
Sg.F.R.69,Female,Sceloporus grammicus,Rainy,7,2645,29062,29.4,69,159,32.1,20.9,24.3,Low_zone
Sg.M.R.70,Male,Sceloporus grammicus,Rainy,8,2712,10860,1.4,36,61,NA,19,20.9,Low_zone
Sg.M.R.71,Male,Sceloporus grammicus,Rainy,6,2712,4267,2.4,44,78,NA,17.5,16.9,Low_zone
Sg.M.R.72,Male,Sceloporus grammicus,Rainy,3,2712,1028,2.4,44,74,NA,19,19.7,Low_zone
Ss.M.D.16,Male,Sceloporus spinosus,Dry,3,2712,4904,2.5,42,92,NA,20.5,20.8,Low_zone
