OTUID,Ss.M.D.16,Ss.M.D.17,Ss.M.D.18,Ss.F.D.19,Ss.M.D.20,Ss.F.D.21,Ss.M.D.22,Ss.F.D.25,Ss.M.R.52,Ss.M.R.54,Ss.M.R.55,Ss.M.R.59,Ss.M.R.60,Ss.M.R.61,Ss.M.R.74,Ss.M.R.75
004a390e55e3e46633a764daa0fe314775405f4a,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0146ec7845c8548bf2d119eda09a1b05765b5025,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0
0193f60ed6530be00150bea63e365649d6ff6682,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0257828cdc453cf15037c4b51fcf1c6636d2960f,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0291da271ab4d719fb981a4d84e2d1245e982ac3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
030a3950b620222a3475da5de4355de323dbe10a,0,2,0,0,0,0,11,1,0,0,0,0,0,0,0,0
03b892d5750b1ee2cede5abd19c5f743165387b9,0,1,0,127,7,1,0,0,0,0,3,0,1,0,0,1
03c43bbc4e7a786e723ea49ad962163ab7e7a7ac,1,13,0,0,16,0,0,6817,0,0,0,0,0,0,0,0
03ce118b0aeb5e55af56cf6fc74189f4d2a456cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04cd65cfde93718f16a8b837726c1255dc833af9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05e48f065a6bf68509e26972c732f79d1edd2f9c,0,0,0,0,0,0,1,0,144,0,0,0,1,3,0,0
067148bf10e625fbe56c5fda0dae0aff40434298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
079534690d7d4ab672d77ceca97e243ae1f2a39f,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
087bf4585b197195679ce605e5cd6ba6950b5588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08b0ea1c77b8c3055b98b3c154d4b1caae7aea97,0,0,0,0,0,0,0,0,0,12,0,4952,0,16,0,13
0ad95e523d78987789f634b3decd43b6993c9618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ae5d89b6e3ebe60279d35d2f210460a81c58a07,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
0b6983e7dd3ccc95bc7f445615bbecb87efc4e4f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0bc22efb8851c60bb1f1b262cb04a2d7a974925f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ccf93dcbb20c6ed3b93a6ff09d24f98460322c1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d588c4a2c8c2dbb286275231ae5a1bfd41f4fca,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0dd558bb70de43082cdfa552706ea500c288b61b,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0e025f97363a840802cf36b6089413ce650a8264,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0ee55f0c633e41076457429d58d2e2f432c6cc6f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0f1916742d93cc9bbcf3d5c8ca7a7923ee02a076,0,10,0,1,0,0,0,0,4,0,2,3,4,17,3,3
0f27f033f67d3c9e0668039a3b96682784a3c734,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0
0fc63e4198145cb6194894924085e49ebcb8fe28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10954b49c939a22964aca91895111afd583f7148,0,0,1,42,87,1,1,2,2,0,0,0,1,0,0,0
120d3c639ac80824e59e3c8c21f5c5c66d29421f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1224b066b087e6cc55c52e1ddc4aa40e8d320595,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
134315ba0897841eabaae049ea3911ea20f29f83,0,0,0,0,10,0,0,0,0,16,0,0,0,0,0,2
138a43d8d00407052ca3276638c3eb01eee8a339,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1454bd4e2354fd6ae0ed28d2a0555a06f25e4d5d,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1471b566a71f36f17006eb2444a6fac0b0f5d08f,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
150044d4f99af30ccb5370f3f81f03bffb231b92,0,4,0,0,11,0,0,1,0,0,0,0,0,0,0,0
15e47f89d6f5de10e17fc4b99745de4ea215ed50,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
161f1187d3ccfe3fcb3fe4543704ad8d3fccdf58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
