OTUID,Sg.F.D.1,Sg.M.D.3,Sg.M.D.4,Sg.F.D.6,Sg.F.D.7,Sg.F.D.8,Sg.F.D.9,Sg.F.D.11,Sg.M.D.12,Sg.M.D.13,Sg.M.D.14,Sg.M.D.15,Sg.M.R.62,Sg.M.R.63,Sg.M.R.64,Sg.M.R.65,Sg.M.R.66,Sg.F.R.67,Sg.F.R.68,Sg.F.R.69,Sg.M.R.70,Sg.M.R.71,Sg.M.R.72
83adbdad0eefa1f080af42d45c3a1d6a,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3138733ffe7327dfee4219cf4a29f2dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d328aa779e7d0e67b9fb2b22d7c7330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1de7c6a74da34f1ec346a5e8f25da477,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
8f176593b92e7f171c8be5c2e1f125b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27f6ca3fc742ffbc8976ff257431ad64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960661d8c98c0a2e42b50de5a7f627e3,16,0,0,47,1,63,49,26,1,2,0,0,158,42,107,0,7,0,123,34,6,3,4
e22d41e26f3249ddd4593fe482250763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630d059015843b5bc47c94c2c8a97c8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3537133e3c13ec1b0abdf4b4ade633d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a98552a1a131e9433571f242353df6c,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
612311eba861ceedc0fe2a905af954ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9617598a8a23b4e6ab26698c15e5e087,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
068c1476c27486b90b96bed11357f9df,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
e7e0948d8507d674e2f2f7d41c703445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7cdaf325a0f7267dbfba64aa01c12c36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76f150b419c87a2859975042233f76a8,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed129c3c9e2744b8b9885b13af221000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23a1670a964403bef83e79450ec13945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
0dbc3bfc2acd3e8a7f9e3ce7b8717122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365d77f9fb09c55b89819f4518cfabf9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7d0b1fec111f21aa4ada5942547de18f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fd0a208645892e71604a2603af21a1db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2e781fa039b07de1b81e9491c1a794b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890a8172ccc3133f6e6e7e03e4f4bb8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3b4de94c7f54bc10cc63c282c0c07a9b,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e1ec861fd4fde5be3b1c9e36ebc29cb0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827a5ea1633c3630cf99db3e90e84825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d30c0f6c5d3b2554b4f31c1d43e833dd,0,0,0,0,0,3,6,3,2,1,0,1,8,0,7,4,31,4,49,43,15,21,7
7cf87c10048b8280833dfb50354669a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5533a4bc2fe6e811c84fedf3ff262f7,0,7,0,0,0,0,2,4,0,0,0,0,0,2,0,3,0,0,0,1,19,0,0
f2eef7277012b7e9fa365000d6c09052,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9bf91f802f6bdc0bbbdbc4bac9c9592f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354361aab101757114bc65e0f706e244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411437821992b392a6140b6c2d153dcc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c3b41716bbb810c0591e23db36a0fb4f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a6165f58e1fd8196025e84abe5fcf9a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6094b87cc526c2fe38821fd79c341592,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,12,0,42,22,7,4,0
ed06a7b9f3a32d48400291c66e45639c,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96e855a1fdc2ff9b8eaf9cd030f14379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a26d38d1e486806f15a194b8055b79af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ae561b7faf2845a41d389d799e57383,0,0,8,0,0,0,0,0,0,0,0,0,38,236,0,6,0,0,0,0,0,10,0
18ee316a6b1e456253437908a45763ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0
