SampleID,Species_Scel,Weight,SVL,TL,Season,Tb ,Ta ,Ts ,Location,Elevation
Sg.F.D.1,Sceloporus grammicus,5.1,54,84,Dry,27.6,21.2,21.5,Low_zone,2662
Sg.M.D.3,Sceloporus grammicus,6,60,111,Dry,27.8,20.6,25.1,Low_zone,2661
Sg.M.D.4,Sceloporus grammicus,7.9,62,123,Dry,25.8,20.6,25.1,Low_zone,2661
Sg.F.D.6,Sceloporus grammicus,4.8,65,131,Dry,29.8,15.7,20.5,Low_zone,2661
Sg.F.D.7,Sceloporus grammicus,5.2,65,122,Dry,29.2,15.7,20.5,Low_zone,2661
Sg.F.D.8,Sceloporus grammicus,5,72,148,Dry,27.7,15.7,20.5,Low_zone,2661
Sg.F.D.9,Sceloporus grammicus,7.9,60,89,Dry,28.3,15.7,20.5,Low_zone,2661
Sg.F.D.11,Sceloporus grammicus,7.1,65,145,Dry,NA,NA,NA,Low_zone,2661
Sg.M.D.12,Sceloporus grammicus,4.9,37,86,Dry,NA,NA,NA,Low_zone,2661
Sg.M.D.13,Sceloporus grammicus,3.1,47,85,Dry,NA,NA,NA,Low_zone,2661
Sg.M.D.14,Sceloporus grammicus,4.4,51,119,Dry,NA,NA,NA,Low_zone,2661
Sg.M.D.15,Sceloporus grammicus,3.9,52,109,Dry,NA,NA,NA,High_zone,4029
Sg.M.R.62,Sceloporus grammicus,29.7,84,198,Rainy,NA,NA,NA,Low_zone,2662
Sg.M.R.63,Sceloporus grammicus,6.2,55,129,Rainy,NA,NA,NA,Low_zone,2662
Sg.M.R.64,Sceloporus grammicus,36.8,94,126,Rainy,22.3,17.7,21,Low_zone,2662
Sg.M.R.65,Sceloporus grammicus,9.1,59,136,Rainy,NA,18.8,19.4,Low_zone,2662
Sg.M.R.66,Sceloporus grammicus,8.2,60,142,Rainy,33.1,20.1,24.3,Low_zone,2661
Sg.F.R.67,Sceloporus grammicus,12.2,65,152,Rainy,34.3,23.1,25.5,Low_zone,2636
Sg.F.R.68,Sceloporus grammicus,35.1,94,179,Rainy,NA,NA,NA,Low_zone,2662
Sg.F.R.69,Sceloporus grammicus,29.4,69,159,Rainy,32.1,20.9,24.3,Low_zone,2645
Sg.M.R.70,Sceloporus grammicus,1.4,36,61,Rainy,NA,19,20.9,Low_zone,2712
Sg.M.R.71,Sceloporus grammicus,2.4,44,78,Rainy,NA,17.5,16.9,Low_zone,2712
Sg.M.R.72,Sceloporus grammicus,2.4,44,74,Rainy,NA,19,19.7,Low_zone,2712
Ss.M.D.16,Sceloporus spinosus,2.5,42,92,Dry,NA,20.5,20.8,Low_zone,2712
Ss.M.D.17,Sceloporus spinosus,3,46,98,Dry,NA,18.5,22.1,Low_zone,2712
Ss.M.D.18,Sceloporus spinosus,1.8,37,91,Dry,30.6,15,23.8,High_zone,4029
Ss.F.D.19,Sceloporus spinosus,2,38,87,Dry,31.1,15,23.8,High_zone,4029
Ss.M.D.20,Sceloporus spinosus,1.5,35,66,Dry,NA,NA,NA,High_zone,4029
Ss.F.D.21,Sceloporus spinosus,1.8,39,84,Dry,NA,NA,NA,High_zone,4029
Ss.M.D.22,Sceloporus spinosus,2.4,32,98,Dry,NA,NA,NA,High_zone,4029
Ss.F.D.25,Sceloporus spinosus,14,59,128,Dry,31.8,21.4,32.2,Low_zone,2648
Ss.M.R.52,Sceloporus spinosus,24.9,81,199,Rainy,26.8,23.1,20.5,Low_zone,2587
Ss.M.R.54,Sceloporus spinosus,37.8,94,214,Rainy,28.1,19.7,19.9,Low_zone,2587
Ss.M.R.55,Sceloporus spinosus,18,57,128,Rainy,33,20.1,25.4,Low_zone,2636
Ss.M.R.59,Sceloporus spinosus,35,92,212,Rainy,33.5,24.5,28.3,Low_zone,2636
Ss.M.R.60,Sceloporus spinosus,36.6,89,208,Rainy,30.6,21.8,25,Low_zone,2587
Ss.M.R.61,Sceloporus spinosus,5.1,58,108,Rainy,17.4,15.3,20.5,Low_zone,2712
Ss.M.R.74,Sceloporus spinosus,5.8,57,120,Rainy,NA,15.3,20.9,Low_zone,2712
Ss.M.R.75,Sceloporus spinosus,5.9,57,113,Rainy,29,17.9,18,Low_zone,2712
Sa.F.D.28,Sceloporus aeneus,9.9,56,134,Dry,29,15.9,17.4,Low_zone,2712
Sa.F.D.30,Sceloporus aeneus,6.3,62,127,Dry,28.1,19.7,19.9,Low_zone,2712
Sa.M.D.31,Sceloporus aeneus,6.6,59,109,Dry,NA,NA,NA,Low_zone,2662
Sa.F.D.35,Sceloporus aeneus,10.9,84,115,Dry,29,23,28,Low_zone,2662
Sa.M.D.36,Sceloporus aeneus,12.2,74,140,Dry,31,22,29,Low_zone,2662
Sa.F.R.73,Sceloporus aeneus,10,54,116,Rainy,28,21,30,Low_zone,2662
Sa.M.R.75,Sceloporus aeneus,5.5,54,117,Rainy,27,22,28,Low_zone,2662
Sa.M.R.77,Sceloporus aeneus,6.2,56,120,Rainy,27,22,28,Low_zone,2662
Sa.M.R.79,Sceloporus aeneus,3.8,50,112,Rainy,28.9,20.1,22.8,Low_zone,2712
Sa.F.R.80,Sceloporus aeneus,5.4,55,84,Rainy,31.8,20.4,23.1,Low_zone,2712
Sa.F.R.82,Sceloporus aeneus,3.2,49,101,Rainy,26.5,21.6,21.2,Low_zone,2712
