SampleID,tq0,tq1,tq2,pq0,pq1,pq2
Sa.F.D.28.COI,9,1.504726349,1.164132673,2.693364697,2.63776086,2.60069631
Sa.F.D.30.COI,7,1.451188091,1.161862853,3.583269288,2.900891114,2.282064779
Sa.F.D.35.COI,3,1.053682406,1.016800241,1.540044123,1.540044123,1.540044123
Sa.F.R.73.COI,8,1.227823936,1.075392977,1.500383745,0.580239558,0.570983025
Sa.F.R.80.COI,8,3.938534168,2.571594878,1.727189906,1.391615235,1.173486883
Sa.F.R.82.COI,17,3.077733116,2.351172577,4.57667405,0.858453005,0.638289547
Sa.F.R.83.COI,7,2.39677822,1.629809247,3.974859407,1.16773489,0.759561835
Sa.F.R.84.COI,2,1.848447203,1.733978164,1.137033836,0.989714367,0.882886195
Sa.M.D.31.COI,6,1.905428249,1.363341444,1.148606558,1.089143927,1.042528755
Sa.M.D.36.COI,16,1.748454229,1.323313379,4.235790324,1.566307797,1.235097822
Sa.M.R.75.COI,8,4.017591637,2.463687151,3.346488501,1.720003392,1.1327
Sa.M.R.77.COI,5,2.692512754,1.953757225,2.158174357,1.075764297,0.887198448
Sa.M.R.79.COI,8,1.804766212,1.400164253,1.916770557,0.688752913,0.585280966
Sb.F.D.39.COI,14,1.490140835,1.154706595,4.828820752,1.175095093,1.057118968
Sb.F.D.45.COI,8,7.559526299,7.2,2.560455822,1.820379639,1.461028812
Sb.F.R.88.COI,6,2.302186795,1.613947696,1.220715447,1.067742116,0.985410762
Sb.F.R.90.COI,5,3.908259203,3.46953405,1.906622248,1.364170385,1.168429992
Sb.F.R.92.COI,12,4.058982869,2.24291742,1.097147513,0.989895598,0.907831602
Sb.F.R.97.COI,7,4.326469708,3.44047619,1.220715447,1.067742116,0.985410762
Sb.F.R.99.COI,3,2.649351129,2.461538462,0.935983452,0.884387593,0.542839482
Sb.M.D.38.COI,13,9.300774215,6.880952381,4.232735314,0.819765075,0.806495706
Sb.M.D.43.COI,5,4.456676065,4.083333333,4.028068539,2.557462693,1.825453596
Sb.M.D.46.COI,7,4.194000264,2.828729282,3.867907808,1.001163856,0.877734003
Sb.M.R.85.COI,3,1.650448244,1.340425532,0.847397733,0.847397733,0.847397733
Sb.M.R.86.COI,8,4.057128628,2.933384576,3.497467103,1.559563785,1.204906217
Sb.M.R.91.COI,14,5.745236434,3.862251656,4.548089163,2.871204629,2.008899598
Sb.M.R.93.COI,1,1,1,0.445689092,0.345983728,0.305893585
Sb.M.R.94.COI,4,2.971004097,2.380952381,1.220715447,1.112655058,1.035876579
Sb.M.R.98.COI,1,1,1,0.414687908,0.385734859,0.33849532
Sg.F.D.1.COI,10,8.615237662,7.258064516,2.971353849,2.106089939,1.571607278
Sg.F.D.11.COI,1,1,1,1.540044123,1.540044123,1.540044123
Sg.F.D.6.COI,4,1.086344335,1.02642228,2.247466682,1.602127038,1.593620897
Sg.F.D.7.COI,2,2,2,0.716787407,0.679238229,0.640249512
Sg.F.D.8.COI,10,1.720085341,1.240719984,2.835214999,2.093333542,1.591510101
Sg.F.D.9.COI,2,1.698433234,1.528301887,0.784698234,0.663892485,0.564859382
Sg.F.R.64.COI,7,4.636104776,4.005382131,1.295388267,0.851706851,0.783054144
Sg.F.R.65.COI,10,1.437322152,1.215773838,4.943722081,2.143918502,1.494942591
Sg.F.R.68.COI,12,3.215067911,2.534183581,1.875521345,0.59920955,0.540366664
